group,group_title,size,covered,genre_similarity,null_mean,z,dominant_genre,dominant_share,purity,top_genres
G24,Alternative/literary comics,81,68,0.6699,0.1120,50.2,comics,0.576,0.809,"comics 0.58, humor 0.05, art 0.05"
G25,Humor & memoir-essay,80,68,0.2488,0.1118,12.1,biography & memoir,0.165,0.162,"biography & memoir 0.16, humor 0.15, history 0.07"
G26,Art & photography,77,35,0.3181,0.1115,12.9,art,0.412,0.514,"art 0.41, biography & memoir 0.08, history 0.06"
G27,The Black canon,74,59,0.2666,0.1118,13.4,poetry,0.138,0.271,"poetry 0.14, african american 0.12, children's 0.08"
G28,Baseball (+ wrestling),74,42,0.2473,0.1120,9.2,sports,0.175,0.286,"sports 0.17, biography & memoir 0.15, history 0.14"
G29,Postmodern & maximalist fiction,72,65,0.3382,0.1119,19.6,short stories,0.157,0.246,"short stories 0.16, literary fiction 0.09, american 0.07"
G30,Brooklyn/pop-culture essayists,70,57,0.2693,0.1117,12.7,music,0.140,0.246,"music 0.14, short stories 0.11, biography & memoir 0.10"
G31,Big-house US literary,70,61,0.1863,0.1122,6.2,children's,0.193,0.246,"children's 0.19, psychology 0.09, short stories 0.07"
G32,Film directors,69,42,0.2270,0.1119,7.9,film,0.188,0.310,"film 0.19, biography & memoir 0.12, history 0.06"
G33,International prize circuit,65,62,0.2720,0.1117,14.1,short stories,0.124,0.226,"short stories 0.12, historical fiction 0.07, literary fiction 0.07"
G34,Paranormal romance & urban fantasy,64,62,0.5520,0.1116,37.6,romance,0.281,0.403,"romance 0.28, paranormal 0.20, fantasy 0.15"
G35,Women's commercial fiction,62,59,0.5199,0.1120,34.3,chick lit,0.390,0.627,"chick lit 0.39, romance 0.16, humor 0.08"
G36,The Inklings & Christian fantasy,61,54,0.2904,0.1116,14.4,fantasy,0.178,0.315,"fantasy 0.18, religion 0.13, children's 0.10"
G37,Canadian literature,60,51,0.2828,0.1119,12.8,canadian,0.206,0.275,"canadian 0.21, short stories 0.11, poetry 0.08"
G38,The Beats,59,44,0.2974,0.1123,13.0,poetry,0.294,0.386,"poetry 0.29, biography & memoir 0.09, short stories 0.05"
G39,Epic fantasy & YA blockbusters,59,56,0.5256,0.1120,32.6,fantasy,0.409,0.589,"fantasy 0.41, science fiction 0.11, young adult 0.10"
G40,Latin American letters,58,43,0.3795,0.1118,18.5,poetry,0.222,0.302,"poetry 0.22, short stories 0.14, latin american 0.13"
G41,Minimalist & experimental short story,58,52,0.4931,0.1120,28.9,short stories,0.369,0.615,"short stories 0.37, lgbtq 0.09, american 0.06"
G42,The stage,55,51,0.5763,0.1116,35.8,plays,0.513,0.765,"plays 0.51, classics 0.05, biography & memoir 0.05"
G43,Travel writing,54,44,0.3194,0.1123,14.4,travel,0.211,0.432,"travel 0.21, humor 0.08, biography & memoir 0.08"
G44,The Romantics & the English poetic canon,50,40,0.4368,0.1121,21.6,poetry,0.307,0.500,"poetry 0.31, classics 0.16, plays 0.09"
G45,Basketball & action-star memoir,49,19,0.3162,0.1115,8.2,sports,0.209,0.368,"sports 0.21, biography & memoir 0.20, children's 0.12"
G46,UK procedural & tartan noir,47,43,0.4889,0.1117,26.6,mystery,0.271,0.419,"mystery 0.27, crime 0.18, thriller 0.13"
G47,Multicultural American fiction,47,45,0.2908,0.1120,12.9,historical fiction,0.101,0.222,"historical fiction 0.10, biography & memoir 0.10, short stories 0.10"
G48,Bestseller horror,47,40,0.3340,0.1111,14.9,horror,0.217,0.325,"horror 0.22, science fiction 0.10, fantasy 0.08"
G49,Experimental & feminist poetics,46,43,0.3590,0.1120,17.3,poetry,0.389,0.535,"poetry 0.39, lgbtq 0.10, erotica 0.06"
G50,The classic weird tale,45,39,0.5256,0.1111,27.0,horror,0.188,0.308,"horror 0.19, short stories 0.18, classics 0.13"
G51,Children's & crossover UK,43,41,0.3427,0.1122,15.3,children's,0.291,0.463,"children's 0.29, young adult 0.13, historical fiction 0.05"
G52,Southern & grit lit,42,33,0.2989,0.1120,11.2,short stories,0.191,0.424,"short stories 0.19, historical fiction 0.09, biography & memoir 0.08"
G53,South Asian literature,42,33,0.6364,0.1123,31.3,asian,0.355,0.727,"asian 0.36, short stories 0.10, biography & memoir 0.06"
G54,The New Yorker institution,42,36,0.1570,0.1118,2.9,business & economics,0.109,0.111,"business & economics 0.11, film 0.10, short stories 0.07"
G55,Mid-century Britain,42,34,0.3201,0.1125,12.4,biography & memoir,0.128,0.176,"biography & memoir 0.13, classics 0.09, british 0.09"
G56,Doctor Who/Torchwood + kids' fiction,42,37,0.4462,0.1119,21.2,children's,0.231,0.351,"children's 0.23, young adult 0.21, science fiction 0.06"
G57,German-language modernists,40,30,0.4875,0.1119,21.1,german,0.238,0.533,"german 0.24, classics 0.12, short stories 0.10"
G58,New Journalism & literary celebrity,40,32,0.3096,0.1115,11.5,biography & memoir,0.158,0.281,"biography & memoir 0.16, history 0.08, sports 0.07"
G59,Historical fiction: Rome to Tudor,40,38,0.4954,0.1116,25.0,historical fiction,0.377,0.658,"historical fiction 0.38, history 0.10, mystery 0.08"
G60,Statesmen & Cold War,40,16,0.2909,0.1130,6.7,politics,0.179,0.312,"politics 0.18, history 0.17, biography & memoir 0.10"
G61,,40,28,0.4180,0.1120,15.9,australian,0.310,0.536,"australian 0.31, biography & memoir 0.08, history 0.07"
G62,,39,13,0.2222,0.1104,3.6,art,0.282,0.385,"art 0.28, poetry 0.15, biography & memoir 0.10"
G63,,38,29,0.4111,0.1113,16.2,religion,0.468,0.621,"religion 0.47, children's 0.13, biography & memoir 0.07"
G64,Paris avant-garde salon,37,23,0.3051,0.1115,9.1,french,0.150,0.304,"french 0.15, art 0.14, poetry 0.14"
G65,Hardboiled classics,37,32,0.6271,0.1117,30.2,mystery,0.362,0.594,"mystery 0.36, crime 0.22, short stories 0.07"
G66,Children's classics & nonsense,36,29,0.3942,0.1116,15.3,children's,0.240,0.414,"children's 0.24, classics 0.13, fantasy 0.07"
G67,,35,34,0.4855,0.1117,23.5,fantasy,0.318,0.441,"fantasy 0.32, science fiction 0.30, war & military 0.06"
G68,Jewish-American fiction & NY intellectuals,34,31,0.2861,0.1122,9.9,short stories,0.131,0.323,"short stories 0.13, american 0.08, essays 0.07"
G69,Irish & UK short story,34,31,0.3313,0.1116,12.5,short stories,0.144,0.226,"short stories 0.14, irish 0.11, literary fiction 0.08"
G70,Bloomsbury & interwar Britain,33,27,0.3112,0.1120,10.3,biography & memoir,0.172,0.222,"biography & memoir 0.17, short stories 0.11, lgbtq 0.10"
G71,Business titans & investing,33,21,0.5544,0.1116,19.8,business & economics,0.556,0.714,"business & economics 0.56, biography & memoir 0.09, self-help 0.05"
G72,American modernist poetry,33,24,0.7005,0.1120,28.4,poetry,0.627,0.833,"poetry 0.63, american 0.03, short stories 0.03"
G73,"Black postwar prose (Baldwin, Wright, Ellison) + midcentury journalists",31,17,0.2456,0.1114,5.2,history,0.140,0.176,"history 0.14, african american 0.08, biography & memoir 0.07"
G74,,31,25,0.3542,0.1123,11.6,historical fiction,0.208,0.360,"historical fiction 0.21, romance 0.14, fantasy 0.13"
G75,,29,24,0.2940,0.1120,8.6,biography & memoir,0.146,0.250,"biography & memoir 0.15, short stories 0.10, classics 0.07"
G76,Lost Generation & its critics,29,24,0.2216,0.1111,5.2,poetry,0.111,0.125,"poetry 0.11, biography & memoir 0.09, classics 0.08"
G77,,29,16,0.1626,0.1117,1.9,religion,0.111,0.125,"religion 0.11, biography & memoir 0.09, history 0.09"
G78,Irish poetry,28,26,0.5240,0.1116,21.2,poetry,0.447,0.654,"poetry 0.45, children's 0.08, biography & memoir 0.05"
G79,Confessionals,28,25,0.6405,0.1119,27.0,poetry,0.546,0.800,"poetry 0.55, biography & memoir 0.07, psychology 0.03"
G80,Italian letters,27,20,0.2857,0.1123,7.3,italian,0.156,0.300,"italian 0.16, philosophy 0.13, religion 0.11"
G81,Monty Python & UK comedy,26,18,0.4828,0.1104,15.5,humor,0.349,0.611,"humor 0.35, biography & memoir 0.12, history 0.06"
G82,,25,12,0.3615,0.1127,7.2,plays,0.319,0.583,"plays 0.32, biography & memoir 0.09, lgbtq 0.08"
G83,Empire adventure,25,22,0.2598,0.1125,6.7,classics,0.126,0.227,"classics 0.13, fantasy 0.11, historical fiction 0.07"
G84,,25,22,0.3373,0.1122,10.1,science fiction,0.248,0.409,"science fiction 0.25, fantasy 0.16, short stories 0.07"
G85,Jazz & soul,25,12,0.1959,0.1109,2.6,biography & memoir,0.156,0.167,"biography & memoir 0.16, historical fiction 0.12, music 0.11"
G86,Austen's Britain,24,18,0.2634,0.1116,6.2,romance,0.184,0.278,"romance 0.18, classics 0.16, historical fiction 0.09"
G87,,24,18,0.6410,0.1119,21.8,children's,0.638,0.778,"children's 0.64, comics 0.06, humor 0.06"
G88,American schoolroom & children's verse,24,23,0.6356,0.1121,24.2,children's,0.372,0.522,"children's 0.37, poetry 0.31, biography & memoir 0.07"
G89,Weird Tales pulps,22,21,0.4242,0.1122,14.1,fantasy,0.203,0.286,"fantasy 0.20, horror 0.17, short stories 0.13"
G90,Irish modernists,22,19,0.1933,0.1121,3.4,mystery,0.215,0.263,"mystery 0.21, irish 0.07, classics 0.06"
G91,European lyric in translation,21,16,0.4706,0.1126,13.0,poetry,0.307,0.500,"poetry 0.31, russian 0.18, short stories 0.07"
G92,Dance & modernist music,21,10,0.3042,0.1121,4.9,science fiction,0.311,0.400,"science fiction 0.31, fantasy 0.09, biography & memoir 0.08"
G93,Early detection,21,19,0.2756,0.1121,6.8,mystery,0.163,0.316,"mystery 0.16, classics 0.13, biography & memoir 0.09"
G94,Transcendentalists & 19th-c New England,21,18,0.3183,0.1115,8.3,classics,0.152,0.278,"classics 0.15, religion 0.10, history 0.09"
G95,French 19th century,20,18,0.3589,0.1114,10.1,classics,0.204,0.333,"classics 0.20, poetry 0.14, french 0.12"
G96,,20,11,0.4001,0.1116,8.4,religion,0.202,0.364,"religion 0.20, philosophy 0.17, fantasy 0.10"
G97,,20,15,0.1860,0.1118,2.6,classics,0.166,0.133,"classics 0.17, poetry 0.12, children's 0.09"
G98,,19,12,0.2548,0.1126,4.2,classics,0.121,0.083,"classics 0.12, biography & memoir 0.09, short stories 0.08"
G99,,19,12,0.2495,0.1134,4.1,mystery,0.212,0.333,"mystery 0.21, science fiction 0.09, short stories 0.08"
G100,Russians,19,13,0.4057,0.1131,9.2,classics,0.210,0.154,"classics 0.21, russian 0.15, short stories 0.13"
G101,Henry James's circle,19,15,0.2429,0.1099,4.8,religion,0.138,0.267,"religion 0.14, african american 0.11, classics 0.10"
G102,,19,19,0.7083,0.1109,25.1,canadian,0.390,0.842,"canadian 0.39, historical fiction 0.12, short stories 0.11"
G103,Algonquin wits,19,15,0.2238,0.1125,4.1,humor,0.180,0.267,"humor 0.18, poetry 0.10, children's 0.10"
G104,War poets,18,16,0.3297,0.1120,7.7,poetry,0.210,0.375,"poetry 0.21, classics 0.10, history 0.08"
G105,,18,12,0.2338,0.1126,3.6,humor,0.168,0.167,"humor 0.17, biography & memoir 0.16, short stories 0.08"
G106,Southern fiction classic,18,15,0.3587,0.1119,8.9,short stories,0.201,0.467,"short stories 0.20, classics 0.11, literary fiction 0.08"
G107,,17,11,0.3891,0.1112,7.8,middle eastern,0.206,0.364,"middle eastern 0.21, short stories 0.16, asian 0.11"
G108,,17,14,0.2002,0.1110,3.0,mystery,0.137,0.214,"mystery 0.14, children's 0.10, historical fiction 0.08"
G109,,16,15,0.4386,0.1110,11.8,classics,0.237,0.533,"classics 0.24, poetry 0.09, british 0.08"
G110,,16,11,0.4474,0.1131,9.3,children's,0.348,0.455,"children's 0.35, sports 0.27, biography & memoir 0.06"
G111,,16,16,0.4787,0.1100,14.0,religion,0.390,0.562,"religion 0.39, reference 0.16, mystery 0.08"
G112,,15,11,0.4045,0.1121,8.4,children's,0.299,0.364,"children's 0.30, art 0.15, fantasy 0.15"
G113,American naturalists,15,12,0.4967,0.1117,11.6,classics,0.228,0.417,"classics 0.23, short stories 0.17, american 0.10"
G114,Transgressive contemporary,14,11,0.2699,0.1109,4.5,short stories,0.143,0.273,"short stories 0.14, british 0.09, young adult 0.06"
G115,,13,10,0.3678,0.1126,6.7,classics,0.171,0.500,"classics 0.17, history 0.11, short stories 0.10"
G116,,13,10,0.3487,0.1117,6.5,short stories,0.252,0.500,"short stories 0.25, historical fiction 0.09, classics 0.08"
G117,Westerns,13,11,0.5625,0.1117,13.1,western,0.430,0.545,"western 0.43, romance 0.26, historical fiction 0.11"
G118,Transgressive lineage,12,9,0.2669,0.1118,3.7,classics,0.120,0.222,"classics 0.12, french 0.10, poetry 0.09"
G119,,12,10,0.6554,0.1120,13.8,science fiction,0.446,0.700,"science fiction 0.45, comics 0.27, fantasy 0.05"
G120,,12,8,0.3243,0.1120,4.5,society,0.157,0.375,"society 0.16, history 0.16, biography & memoir 0.14"
G121,,12,12,0.9674,0.1132,25.0,romance,0.734,1.000,"romance 0.73, short stories 0.07, chick lit 0.05"
G122,,11,8,0.7915,0.1118,14.9,art,0.627,0.875,"art 0.63, children's 0.13, business & economics 0.05"
G123,Scientific romance,11,8,0.2964,0.1126,4.1,science fiction,0.167,0.375,"science fiction 0.17, classics 0.12, children's 0.10"
G124,,11,5,0.2216,0.1154,1.5,poetry,0.315,0.400,"poetry 0.32, biography & memoir 0.12, history 0.10"
G125,War correspondents,10,6,0.5084,0.1131,6.6,history,0.218,0.333,"history 0.22, biography & memoir 0.10, classics 0.10"
G126,,10,2,0.9717,0.1060,4.8,biography & memoir,0.538,1.000,"biography & memoir 0.54, sports 0.38, business & economics 0.07"
G127,,10,2,0.8480,0.1164,3.7,travel,0.516,1.000,"travel 0.52, reference 0.11, biography & memoir 0.07"
G128,,9,2,0.0131,0.0990,-0.5,mystery,0.179,0.500,"mystery 0.18, thriller 0.14, children's 0.11"
G129,,9,5,0.5511,0.1103,6.5,classics,0.227,0.600,"classics 0.23, short stories 0.15, history 0.10"
G130,,8,7,0.4075,0.1133,5.7,fantasy,0.347,0.429,"fantasy 0.35, science fiction 0.19, comics 0.08"
G131,,8,8,0.9733,0.1118,19.3,mystery,0.789,1.000,"mystery 0.79, thriller 0.05, crime 0.02"
G132,,8,7,0.2525,0.1119,2.6,history,0.133,0.143,"history 0.13, classics 0.10, historical fiction 0.09"
G133,,8,8,0.6757,0.1143,11.9,children's,0.628,0.750,"children's 0.63, young adult 0.14, fantasy 0.03"
G134,,8,8,0.8497,0.1097,16.6,science fiction,0.476,0.875,"science fiction 0.48, short stories 0.16, fantasy 0.14"
G135,,8,4,0.1785,0.1088,0.9,science fiction,0.333,0.500,"science fiction 0.33, mystery 0.11, biography & memoir 0.09"
G136,,7,4,0.9395,0.1128,9.7,religion,0.766,1.000,"religion 0.77, reference 0.18, history 0.02"
G137,,7,4,0.3068,0.1139,2.2,short stories,0.163,0.500,"short stories 0.16, horror 0.15, science fiction 0.13"
G138,,7,7,0.4159,0.1113,6.1,history,0.237,0.571,"history 0.24, science 0.16, western 0.14"
G139,,7,4,0.5187,0.1099,4.9,scandinavian,0.445,0.500,"scandinavian 0.45, short stories 0.13, mystery 0.10"
G140,,7,4,0.2374,0.1129,1.5,reference,0.356,0.500,"reference 0.36, health 0.12, biography & memoir 0.10"
G141,,7,6,0.6541,0.1112,9.3,children's,0.371,0.333,"children's 0.37, historical fiction 0.16, young adult 0.14"
G142,,6,3,0.5455,0.1098,3.9,short stories,0.310,0.333,"short stories 0.31, science fiction 0.18, fantasy 0.05"
G143,,6,4,0.9842,0.1129,10.4,religion,0.820,1.000,"religion 0.82, philosophy 0.05, reference 0.04"
G144,,5,2,0.0108,0.1156,-0.5,fantasy,0.254,0.500,"fantasy 0.25, mystery 0.07, true crime 0.06"
G145,,5,5,0.9240,0.1126,11.8,religion,0.480,1.000,"religion 0.48, romance 0.19, historical fiction 0.12"
G146,,5,5,0.6665,0.1141,8.1,young adult,0.443,0.800,"young adult 0.44, children's 0.13, short stories 0.07"
G148,,5,5,0.9907,0.1125,12.7,romance,0.820,1.000,"romance 0.82, short stories 0.03, western 0.03"
G149,,5,4,0.0802,0.1093,-0.4,business & economics,0.157,0.250,"business & economics 0.16, film 0.14, romance 0.09"
G150,,5,5,0.9813,0.1122,12.3,history,0.752,1.000,"history 0.75, biography & memoir 0.07, war & military 0.07"
G151,,5,5,0.5075,0.1105,6.1,history,0.353,0.600,"history 0.35, biography & memoir 0.12, humor 0.11"
G152,,5,4,0.4464,0.1140,3.8,health,0.339,0.500,"health 0.34, food 0.27, children's 0.07"
G153,,4,2,0.3887,0.1121,1.5,biography & memoir,0.266,0.500,"biography & memoir 0.27, lgbtq 0.15, psychology 0.12"
G155,,4,4,0.1528,0.1117,0.5,short stories,0.205,0.250,"short stories 0.20, poetry 0.16, spanish 0.08"
G156,,4,3,0.3594,0.1122,2.1,biography & memoir,0.269,0.333,"biography & memoir 0.27, plays 0.16, lgbtq 0.11"
G157,,4,4,0.8686,0.1118,9.0,science fiction,0.554,1.000,"science fiction 0.55, comics 0.11, fantasy 0.08"
G158,,4,3,0.3888,0.1092,2.5,short stories,0.261,0.667,"short stories 0.26, biography & memoir 0.19, essays 0.09"
G159,,4,4,0.6912,0.1116,6.7,mystery,0.407,0.500,"mystery 0.41, historical fiction 0.31, romance 0.12"
G160,,4,4,0.7477,0.1115,7.5,religion,0.327,0.500,"religion 0.33, fantasy 0.15, paranormal 0.15"
G161,,4,2,0.9965,0.1140,4.6,religion,0.791,1.000,"religion 0.79, reference 0.16, greek 0.03"
G163,,3,2,0.0499,0.1079,-0.3,romance,0.158,0.500,"romance 0.16, lgbtq 0.14, music 0.10"
G165,,3,3,0.8990,0.1123,6.9,lgbtq,0.485,1.000,"lgbtq 0.49, romance 0.18, erotica 0.08"
G166,,3,3,0.9754,0.1148,7.2,sports,0.570,1.000,"sports 0.57, health 0.22, biography & memoir 0.09"
G167,,3,3,0.8573,0.1131,6.5,mystery,0.577,1.000,"mystery 0.58, historical fiction 0.17, crime 0.10"
G168,,3,2,0.1861,0.1168,0.4,paranormal,0.206,0.500,"paranormal 0.21, biography & memoir 0.12, fantasy 0.10"
G169,,3,3,0.2636,0.1139,1.3,fantasy,0.203,0.333,"fantasy 0.20, horror 0.13, religion 0.12"
G170,,3,2,0.9986,0.1116,4.7,romance,0.652,1.000,"romance 0.65, historical fiction 0.28, british 0.03"
G171,,3,3,0.9809,0.1114,7.7,historical fiction,0.669,1.000,"historical fiction 0.67, fantasy 0.09, romance 0.05"
G172,,3,2,0.0024,0.1133,-0.6,romance,0.470,0.500,"romance 0.47, society 0.31, history 0.04"
G173,,3,2,0.5089,0.1151,2.1,true crime,0.499,0.500,"true crime 0.50, fantasy 0.20, biography & memoir 0.05"
G176,,3,3,0.8986,0.1112,6.8,religion,0.751,1.000,"religion 0.75, romance 0.08, children's 0.05"
G177,,3,3,0.7735,0.1063,6.1,religion,0.514,0.667,"religion 0.51, romance 0.21, children's 0.08"
G179,,3,2,0.0009,0.1101,-0.6,biography & memoir,0.413,0.500,"biography & memoir 0.41, nature 0.27, science 0.11"
G180,,3,3,0.9842,0.1114,7.4,religion,0.862,1.000,"religion 0.86, history 0.06, science 0.04"
G181,,3,3,0.2395,0.1117,1.1,historical fiction,0.226,0.667,"historical fiction 0.23, chick lit 0.21, romance 0.10"
G183,,3,2,0.9218,0.1070,4.5,poetry,0.362,1.000,"poetry 0.36, short stories 0.20, american 0.16"
G184,,3,3,0.3387,0.1137,2.0,mystery,0.605,0.667,"mystery 0.61, erotica 0.12, romance 0.10"
G185,,3,3,0.9336,0.1080,7.5,nature,0.368,0.667,"nature 0.37, reference 0.26, science 0.24"
G188,,3,3,0.7474,0.1145,5.4,history,0.412,0.667,"history 0.41, biography & memoir 0.14, historical fiction 0.08"
G190,,3,3,0.9962,0.1143,7.1,children's,0.826,1.000,"children's 0.83, humor 0.04, nature 0.03"
G191,,3,2,0.9344,0.1147,4.2,dutch,0.607,1.000,"dutch 0.61, art 0.08, 20th century 0.07"
G192,,3,3,0.1154,0.1117,0.0,food,0.299,0.333,"food 0.30, self-help 0.18, reference 0.18"
G193,,3,3,0.5892,0.1154,3.9,reference,0.429,0.667,"reference 0.43, philosophy 0.13, parenting 0.10"
G196,,3,3,0.1412,0.1124,0.2,mystery,0.221,0.333,"mystery 0.22, thriller 0.18, reference 0.17"
G198,,3,3,0.9991,0.1132,7.7,romance,0.914,1.000,"romance 0.91, parenting 0.03, chick lit 0.01"
G199,,3,3,0.9800,0.1137,7.6,religion,0.380,0.667,"religion 0.38, romance 0.34, thriller 0.10"
G200,,3,3,0.9915,0.1145,7.4,mystery,0.864,1.000,"mystery 0.86, chick lit 0.05, humor 0.02"
